rank,spanish,pos,zipf,band,note
2649,visible,adj,4.2,wider,
2650,aceptación,n,4.19,wider,
2651,agustín,adv,4.19,wider,
2652,apreciar,vblex,4.19,wider,
2653,atractivo,adj n,4.19,wider,
2654,bahía,n,4.19,wider,
2655,camisa,n,4.19,wider,
2656,capitalismo,n,4.19,wider,
2657,cargar,vblex,4.19,wider,
2658,cometer,vblex,4.19,wider,
2659,comprado,n,4.19,wider,check: commoner as a form of comprar
2660,directiva,n,4.19,wider,
2661,eléctrico,adj,4.19,wider,
2662,estrés,n,4.19,wider,
2663,federico,adj,4.19,wider,
2664,gimnasio,n,4.19,wider,
2665,hey,ij,4.19,wider,
2666,hombro,n,4.19,wider,
2667,marketing,n,4.19,wider,
2668,minería,n,4.19,wider,
2669,mini,adj,4.19,wider,
2670,mérito,adj n,4.19,wider,
2671,ocultar,vblex,4.19,wider,
2672,pasaje,n,4.19,wider,
2673,pez,n,4.19,wider,
2674,po,ij,4.19,wider,
2675,renovación,n,4.19,wider,
2676,retorno,n,4.19,wider,
2677,semestre,n,4.19,wider,
2678,servidor,n,4.19,wider,
2679,terminal,adj n,4.19,wider,
2680,terremoto,n,4.19,wider,
2681,tony,n,4.19,wider,
2682,trampa,n,4.19,wider,
2683,tremendo,adj,4.19,wider,
2684,triple,adj n,4.19,wider,
2685,vela,n,4.19,wider,"check: commoner as a form of ir, ver"
2686,absurdo,adj n,4.18,wider,
2687,adulto,adj n,4.18,wider,
2688,alimento,n,4.18,wider,
2689,alumno,n,4.18,wider,
2690,aprobar,vblex,4.18,wider,
2691,ascenso,n,4.18,wider,
2692,brutal,adj,4.18,wider,
2693,cartera,n,4.18,wider,
2694,catálogo,n,4.18,wider,
2695,cementerio,n,4.18,wider,
2696,consumidor,adj n,4.18,wider,
2697,continental,adj,4.18,wider,
2698,crema,adj n,4.18,wider,
2699,debilidad,n,4.18,wider,
2700,denunciar,vblex,4.18,wider,
2701,detención,n,4.18,wider,
2702,déficit,n,4.18,wider,
2703,eficiente,adj,4.18,wider,
2704,entusiasmo,n,4.18,wider,
2705,estúpido,adj,4.18,wider,
2706,etiqueta,n,4.18,wider,
2707,fa,ij n,4.18,wider,
2708,fuertemente,adv,4.18,wider,
2709,geografía,n,4.18,wider,
2710,golfo,adj n,4.18,wider,
2711,historial,n,4.18,wider,
2712,intenso,adj,4.18,wider,
2713,jurídico,adj,4.18,wider,
2714,justamente,adv,4.18,wider,
2715,líquido,adj n,4.18,wider,
2716,miro,n,4.18,wider,check: commoner as a form of mirar
2717,miss,n,4.18,wider,
2718,mito,n,4.18,wider,
2719,monto,n,4.18,wider,
2720,mortal,adj,4.18,wider,
2721,municipalidad,n,4.18,wider,
2722,pasaporte,n,4.18,wider,
2723,pega,n,4.18,wider,
2724,pánico,adj n,4.18,wider,
2725,respaldo,n,4.18,wider,
2726,romano,adj n,4.18,wider,
2727,saludable,adj,4.18,wider,
2728,saque,n,4.18,wider,check: commoner as a form of sacar
2729,tocado,adj ij n,4.18,wider,check: commoner as a form of tocar
2730,tuit,n,4.18,wider,
2731,adaptación,n,4.17,wider,
2732,ajuste,n,4.17,wider,
2733,anime,n,4.17,wider,
2734,asesor,n,4.17,wider,
2735,atentado,adj n,4.17,wider,
2736,automáticamente,adv,4.17,wider,
2737,boy,n,4.17,wider,
2738,campus,n,4.17,wider,
2739,caridad,n,4.17,wider,
2740,comentar,vblex,4.17,wider,
2741,conservador,adj n,4.17,wider,
2742,contratar,vblex,4.17,wider,
2743,coraje,n,4.17,wider,
2744,cuerda,n,4.17,wider,
2745,cálculo,n,4.17,wider,
2746,empresarial,adj,4.17,wider,
2747,entretenimiento,n,4.17,wider,
2748,espacial,adj,4.17,wider,
2749,esquema,n,4.17,wider,
2750,estética,n,4.17,wider,
2751,financiamiento,n,4.17,wider,
2752,gama,n,4.17,wider,
2753,gastar,vblex,4.17,wider,
2754,horno,n,4.17,wider,
2755,horror,n,4.17,wider,
2756,inauguración,n,4.17,wider,
2757,inclusión,n,4.17,wider,
2758,inevitable,adj,4.17,wider,
2759,inseguridad,n,4.17,wider,
2760,judío,adj n,4.17,wider,
2761,justificar,vblex,4.17,wider,
2762,legalmente,adv,4.17,wider,
2763,mantenido,adj n,4.17,wider,check: commoner as a form of mantener
2764,maravilla,n,4.17,wider,
2765,marihuana,n,4.17,wider,
2766,miel,n,4.17,wider,
2767,naturalmente,adv,4.17,wider,
2768,notar,vblex,4.17,wider,
2769,piano,n,4.17,wider,
2770,pinche,adj adv n,4.17,wider,
2771,ponerle,vblex,4.17,wider,check: commoner as a form of poner
2772,preciso,adj,4.17,wider,
2773,retrato,n,4.17,wider,
2774,sabiduría,n,4.17,wider,
2775,suceder,vblex,4.17,wider,
2776,traición,n,4.17,wider,
2777,trama,n,4.17,wider,
2778,vendido,n,4.17,wider,check: commoner as a form of vender
2779,adquisición,n,4.16,wider,
2780,almuerzo,n,4.16,wider,
2781,antigüedad,n,4.16,wider,
2782,asociado,adj n,4.16,wider,
2783,balance,n,4.16,wider,
2784,bebida,n,4.16,wider,
2785,considerable,adj,4.16,wider,
2786,convento,n,4.16,wider,
2787,coro,n,4.16,wider,
2788,deportiva,n,4.16,wider,
2789,describir,vblex,4.16,wider,
2790,desigualdad,n,4.16,wider,
2791,disputa,n,4.16,wider,
2792,espectacular,adj,4.16,wider,
2793,evidentemente,adv,4.16,wider,
2794,full,n,4.16,wider,
2795,hipótesis,n,4.16,wider,
2796,hueso,n,4.16,wider,
2797,humedad,n,4.16,wider,
2798,ida,n,4.16,wider,check: commoner as a form of ido
2799,inicialmente,adv,4.16,wider,
2800,integridad,n,4.16,wider,
2801,lamentablemente,adv,4.16,wider,
2802,lealtad,n,4.16,wider,
2803,libremente,adv,4.16,wider,
2804,ligeramente,adv,4.16,wider,
2805,marta,n,4.16,wider,
2806,medir,vblex,4.16,wider,
2807,mentir,vblex,4.16,wider,
2808,modificación,n,4.16,wider,
2809,modificar,vblex,4.16,wider,
2810,monarquía,n,4.16,wider,
2811,morena,n,4.16,wider,check: commoner as a form of moreno
2812,pilar,n vblex,4.16,wider,
2813,posta,adj adv ij n,4.16,wider,
2814,seminario,n,4.16,wider,
2815,señorita,n,4.16,wider,
2816,suministro,n,4.16,wider,
2817,tejido,n,4.16,wider,
2818,test,n,4.16,wider,
2819,abandono,n,4.15,wider,
2820,acoso,n,4.15,wider,
2821,aportar,vblex,4.15,wider,
2822,arreglo,n,4.15,wider,
2823,arturo,adj n,4.15,wider,
2824,autopista,n,4.15,wider,
2825,azar,n,4.15,wider,
2826,center,n,4.15,wider,
2827,choque,n,4.15,wider,
2828,circo,n,4.15,wider,
2829,colón,n,4.15,wider,
2830,consenso,n,4.15,wider,
2831,consideración,n,4.15,wider,
2832,continuidad,n,4.15,wider,
2833,cueva,n,4.15,wider,
2834,defecto,n,4.15,wider,
2835,eficiencia,n,4.15,wider,
2836,exclusiva,n,4.15,wider,
2837,hermandad,n vblex,4.15,wider,
2838,jurisdicción,n,4.15,wider,
2839,majestad,n,4.15,wider,
2840,manzana,n,4.15,wider,
2841,mato,n,4.15,wider,check: commoner as a form of matar
2842,maya,adj n,4.15,wider,
2843,nacer,vblex,4.15,wider,
2844,natal,adj,4.15,wider,
2845,negociar,vblex,4.15,wider,
2846,ordenador,n,4.15,wider,
2847,pensión,n,4.15,wider,
2848,perfección,n,4.15,wider,
2849,piscina,n,4.15,wider,
2850,precisión,n,4.15,wider,
2851,rayo,n,4.15,wider,
2852,retirar,vblex,4.15,wider,
2853,rubio,adj n,4.15,wider,
2854,salamanca,n,4.15,wider,
2855,secuestro,n,4.15,wider,
2856,sensibilidad,n,4.15,wider,
2857,sexto,adj n,4.15,wider,
2858,traslado,n,4.15,wider,
2859,truco,n,4.15,wider,
2860,tubo,n,4.15,wider,
2861,vaca,n,4.15,wider,
2862,vapor,n,4.15,wider,
2863,violento,adj,4.15,wider,
2864,administrador,n,4.14,wider,
2865,afirmación,n,4.14,wider,
2866,agresión,n,4.14,wider,
2867,alba,n,4.14,wider,
2868,artificial,adj,4.14,wider,
2869,barba,n,4.14,wider,
2870,cabrón,adj n,4.14,wider,
2871,civilización,n,4.14,wider,
2872,colocar,vblex,4.14,wider,
2873,consejero,n,4.14,wider,
2874,contraste,n,4.14,wider,
2875,convencer,vblex,4.14,wider,
2876,correctamente,adv,4.14,wider,
2877,coste,n,4.14,wider,
2878,creencia,n,4.14,wider,
2879,cuero,n,4.14,wider,
2880,devolver,vblex,4.14,wider,
2881,diana,n,4.14,wider,
2882,dimensión,n,4.14,wider,
2883,dirigente,adj n,4.14,wider,
2884,disminución,n,4.14,wider,
2885,diversión,n,4.14,wider,
2886,escalera,n,4.14,wider,
2887,escasez,n,4.14,wider,
2888,escritorio,n,4.14,wider,
2889,especialista,adj n,4.14,wider,
2890,eterno,adj,4.14,wider,
2891,extraordinario,adj,4.14,wider,
2892,fallecido,adj n,4.14,wider,
2893,grabado,adj n,4.14,wider,
2894,harto,adj adv,4.14,wider,
2895,implementación,n,4.14,wider,
2896,impunidad,n,4.14,wider,
2897,laguna,n,4.14,wider,
2898,lamentable,adj,4.14,wider,
2899,marcar,vblex,4.14,wider,
2900,marqués,n,4.14,wider,
2901,navarro,adj n,4.14,wider,
2902,novedad,n,4.14,wider,
2903,obligatorio,adj,4.14,wider,
2904,pelotudo,adj n,4.14,wider,
2905,piedad,n,4.14,wider,
2906,press,n,4.14,wider,
2907,prestar,vblex,4.14,wider,
2908,prohibición,n,4.14,wider,
2909,reconstrucción,n,4.14,wider,
2910,reunir,vblex,4.14,wider,
2911,sed,n,4.14,wider,check: commoner as a form of ser
2912,sexta,n,4.14,wider,
2913,significativo,adj,4.14,wider,
2914,sobra,n,4.14,wider,
2915,solitario,adj n,4.14,wider,
2916,tecnológico,adj,4.14,wider,
2917,tigre,n,4.14,wider,
2918,trinidad,n,4.14,wider,
2919,urgencia,n,4.14,wider,
2920,vendedor,n,4.14,wider,
2921,aguantar,vblex,4.13,wider,
2922,ahorrar,vblex,4.13,wider,
2923,alza,n,4.13,wider,
2924,autora,n,4.13,wider,
2925,beca,n,4.13,wider,
2926,borrar,vblex,4.13,wider,
2927,can,n,4.13,wider,
2928,cardenal,n,4.13,wider,
2929,cima,n,4.13,wider,
2930,conservar,vblex,4.13,wider,
2931,contribución,n,4.13,wider,
2932,delgado,adj,4.13,wider,
2933,demonio,n,4.13,wider,
2934,descenso,n,4.13,wider,
2935,dictador,n,4.13,wider,
2936,doctrina,n,4.13,wider,
2937,eficacia,n,4.13,wider,
2938,elegante,adj,4.13,wider,
2939,escoger,vblex,4.13,wider,
2940,estómago,n,4.13,wider,
2941,expedición,n,4.13,wider,
2942,explotar,vblex,4.13,wider,
2943,fantasma,n,4.13,wider,
2944,harina,n,4.13,wider,
2945,ingresar,vblex,4.13,wider,
2946,lavado,n,4.13,wider,
2947,lesión,n,4.13,wider,
2948,mami,n,4.13,wider,
2949,mediodía,n,4.13,wider,
2950,molesto,adj,4.13,wider,
2951,mono,adj n,4.13,wider,
2952,norteamericano,adj n,4.13,wider,
2953,oso,n,4.13,wider,
2954,pene,n,4.13,wider,
2955,pibe,n,4.13,wider,
2956,plus,n,4.13,wider,
2957,prisa,n,4.13,wider,
2958,productividad,n,4.13,wider,
2959,quemar,vblex,4.13,wider,
2960,reparto,n,4.13,wider,
2961,satisfacer,vblex,4.13,wider,
2962,sincero,adj,4.13,wider,
2963,sopa,n,4.13,wider,
2964,tapa,n,4.13,wider,
2965,tortura,n,4.13,wider,
2966,transmitir,vblex,4.13,wider,
2967,trono,n,4.13,wider,
2968,vera,n,4.13,wider,
2969,aliento,n,4.12,wider,
2970,ave,ij n,4.12,wider,
2971,averiguar,vblex,4.12,wider,
2972,certeza,n,4.12,wider,
2973,claridad,n,4.12,wider,
2974,colaborar,vblex,4.12,wider,
2975,coma,n,4.12,wider,check: commoner as a form of comer
2976,compuesta,n,4.12,wider,
2977,corrupto,adj,4.12,wider,
2978,creatividad,n,4.12,wider,
2979,cuartel,n,4.12,wider,
2980,custodia,n,4.12,wider,
2981,encargo,n,4.12,wider,
2982,evaluar,vblex,4.12,wider,
2983,expediente,n,4.12,wider,
2984,exportación,n,4.12,wider,
2985,fortalecer,vblex,4.12,wider,
2986,gobernar,vblex,4.12,wider,
2987,guapo,adj n,4.12,wider,
2988,hidalgo,adj n,4.12,wider,
2989,jugo,n,4.12,wider,
2990,lamento,n,4.12,wider,
2991,like,n,4.12,wider,
2992,lisa,n,4.12,wider,
2993,maquinaria,n,4.12,wider,
2994,masculino,adj,4.12,wider,
2995,minoría,n,4.12,wider,
2996,motivación,n,4.12,wider,
2997,muera,n,4.12,wider,check: commoner as a form of morir
2998,navegación,n,4.12,wider,
2999,parto,adj n,4.12,wider,check: commoner as a form of partir
